
NbProcs = 4;
NbTasks = 5;
Cycles = 1;
xN = 2;
yN = 2;
// vs in hs jug1 nr mem1 mem2 se mem3 hvs jug2 blend
//  1  2  3  4   5   6    7   8   9   10   11   12
Time = [51,48,63,63,36];

/*speed */
Freq = [1,2,1,2];
/*energy consumption in various mode*/
dPk = [10,20,10,20];
sPk = [3,6,3,6];
     //  1  2   3  4   5  6  7  8  9  10   11   12
comm = [[0, 10, 0, 11, 0],
        [0, 0,  7, 0,  0],
        [0, 0, 0, 0,  8],
        [0, 0, 0, 0, 0],
        [0, 0, 0, 0, 0],
       ];


//        1  2  3  4  5  6  7  8  9  10 11 12
Dep =  [[0, 1, 0, 1, 0],
[0, 0,  1, 0,  0],
[0, 0, 0, 0,  1],
[0, 0, 0, 0, 0],
[0, 0, 0, 0, 0],
];

xP = [0,1,0,1];
yP = [0,0,1,1];


shared =[[[[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ] ,
[[0, 1, 0, 1] ,
[0, 0, 0, 0] ,
[0, 1, 0, 0] ,
[0, 0, 0, 0] ] ,
[[0, 0, 1, 1] ,
[0, 0, 1, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ] ,
[[0, 1, 1, 2] ,
[0, 0, 0, 1] ,
[0, 0, 0, 1] ,
[0, 0, 0, 0] ] ],
[[[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ] ,
[[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ] ,
[[0, 0, 1, 0] ,
[0, 0, 1, 1] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ] ,
[[0, 0, 0, 1] ,
[0, 0, 1, 1] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ] ],
[[[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ] ,
[[0, 1, 0, 0] ,
[0, 0, 0, 0] ,
[0, 1, 0, 1] ,
[0, 0, 0, 0] ] ,
[[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ] ,
[[0, 0, 0, 1] ,
[0, 0, 0, 0] ,
[0, 1, 0, 1] ,
[0, 0, 0, 0] ] ],
[[[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ] ,
[[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ] ,
[[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ] ,
[[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ,
[0, 0, 0, 0] ] ]
];

